"","EXP.ID","COMPOUND","RT","ABUNDANCE","PROFILE.ID"
"1","20160501OB-UV-2","Eucalyptol",13.147,290905790,"IL3"
"2","20160501OB-UV-2","Ocimene",14.001,24943982,"IL3"
"3","20160501OB-UV-2","gamma-terpinene",14.494,2895838,"IL3"
"4","20160501OB-UV-2","terpinolene",15.882,6862253,"IL3"
"5","20160501OB-UV-2","linalool",16.701,896742492,"IL3"
"6","20160501OB-UV-2","camphor",18.747,1729933,"IL3"
"7","20160501OB-UV-2","endo-borneol",19.99,28497321,"IL3"
"8","20160501OB-UV-2","terpinen-4-ol",20.432,4031551,"IL3"
"9","20160501OB-UV-2","alpha-terpineol",21.169,29070544,"IL3"
"10","20160501OB-UV-2","octyl acetate",22.111,NA,"IL3"
"11","20160501OB-UV-2","chavicol",23.917,NA,"IL3"
"12","20160501OB-UV-2","bornyl acetate",25.34,20674166,"IL3"
"13","20160501OB-UV-2","gamma-elemene",27.455,7936706,"IL3"
"14","20160501OB-UV-2","alpha-cubebene",28.129,2231401,"IL3"
"15","20160501OB-UV-2","eugenol",28.48,1501719879,"IL3"
"16","20160501OB-UV-2","alpha-copaene",29.346,7268736,"IL3"
"17","20160501OB-UV-2","beta-elemene",29.659,5933103,"IL3"
"18","20160501OB-UV-2","sesquiterpene a",29.978,61477769,"IL3"
"19","20160501OB-UV-2","methyleugenol",30.5,2280208,"IL3"
"20","20160501OB-UV-2","trans-alpha-bergamotene",31,1772934,"IL3"
"21","20160501OB-UV-2","beta-ylangene",31.129,7041030,"IL3"
"22","20160501OB-UV-2","cis-alpha-bergamotene",31.879,171137217,"IL3"
"23","20160501OB-UV-2","alpha-copaene",32.28,6183878,"IL3"
"24","20160501OB-UV-2","humulene",32.644,15671431,"IL3"
"25","20160501OB-UV-2","cis-beta-farnesene",32.767,20186242,"IL3"
"26","20160501OB-UV-2","cis-muurola-4(15),5-diene",32.925,13383199,"IL3"
"27","20160501OB-UV-2","Germacrene D",33.71,50431019,"IL3"
"28","20160501OB-UV-2","bicyclogermacrene",34.367,30001598,"IL3"
"29","20160501OB-UV-2","alpha-bulnesene",34.592,40596827,"IL3"
"30","20160501OB-UV-2","gamma-cadinene",35.038,62222812,"IL3"
"31","20160501OB-UV-2","delta-cadinene",35.284,10014715,"IL3"
"32","20160501OB-UV-2","sesquiterpene b",35.55,3027953,"IL3"
"33","20160501OB-UV-2","alpha-cadinene",35.97,2390278,"IL3"
"34","20160501OB-UV-2","nerolidol",37.08,NA,"IL3"
"35","20160501OB-UV-2","epicubenol",38.984,8545200,"IL3"
"36","20160501OB-UV-2","tau-cadinol",40.008,63248748,"IL3"
