"","EXP.ID","COMPOUND","RT","ABUNDANCE","PROFILE.ID"
"1","20160501OB-UV-2","Eucalyptol",13.147,233373932,"FL1"
"2","20160501OB-UV-2","Ocimene",14.001,36979988,"FL1"
"3","20160501OB-UV-2","gamma-terpinene",14.494,3026730,"FL1"
"4","20160501OB-UV-2","terpinolene",15.882,7163557,"FL1"
"5","20160501OB-UV-2","linalool",16.701,477670762,"FL1"
"6","20160501OB-UV-2","camphor",18.747,4736956,"FL1"
"7","20160501OB-UV-2","endo-borneol",19.99,9292548,"FL1"
"8","20160501OB-UV-2","terpinen-4-ol",20.432,3111856,"FL1"
"9","20160501OB-UV-2","alpha-terpineol",21.169,27565695,"FL1"
"10","20160501OB-UV-2","octyl acetate",22.111,4494553,"FL1"
"11","20160501OB-UV-2","chavicol",23.917,5830672,"FL1"
"12","20160501OB-UV-2","bornyl acetate",25.34,42644243,"FL1"
"13","20160501OB-UV-2","gamma-elemene",27.455,8338448,"FL1"
"14","20160501OB-UV-2","alpha-cubebene",28.129,NA,"FL1"
"15","20160501OB-UV-2","eugenol",28.48,1749923758,"FL1"
"16","20160501OB-UV-2","alpha-copaene",29.346,3622377,"FL1"
"17","20160501OB-UV-2","beta-elemene",29.659,6480634,"FL1"
"18","20160501OB-UV-2","sesquiterpene a",29.978,65704773,"FL1"
"19","20160501OB-UV-2","methyleugenol",30.5,4257831,"FL1"
"20","20160501OB-UV-2","trans-alpha-bergamotene",31,2004661,"FL1"
"21","20160501OB-UV-2","beta-ylangene",31.129,7533815,"FL1"
"22","20160501OB-UV-2","cis-alpha-bergamotene",31.879,175914119,"FL1"
"23","20160501OB-UV-2","alpha-copaene",32.28,7517254,"FL1"
"24","20160501OB-UV-2","humulene",32.644,20294906,"FL1"
"25","20160501OB-UV-2","cis-beta-farnesene",32.767,15325884,"FL1"
"26","20160501OB-UV-2","cis-muurola-4(15),5-diene",32.925,11280358,"FL1"
"27","20160501OB-UV-2","Germacrene D",33.71,44223397,"FL1"
"28","20160501OB-UV-2","bicyclogermacrene",34.367,32678283,"FL1"
"29","20160501OB-UV-2","alpha-bulnesene",34.592,36957061,"FL1"
"30","20160501OB-UV-2","gamma-cadinene",35.038,53711077,"FL1"
"31","20160501OB-UV-2","delta-cadinene",35.284,6832582,"FL1"
"32","20160501OB-UV-2","sesquiterpene b",35.55,4224600,"FL1"
"33","20160501OB-UV-2","alpha-cadinene",35.97,2386242,"FL1"
"34","20160501OB-UV-2","nerolidol",37.08,1495231,"FL1"
"35","20160501OB-UV-2","epicubenol",38.984,6072380,"FL1"
"36","20160501OB-UV-2","tau-cadinol",40.008,44941051,"FL1"
