Compound,RT,PS3,PS2,PS1,PL2,PL3,PL1,PC3,PC2,PC1,IL3,IL2,IL1,IC3,IC2,IC1,FS3,FS2,FS1,FL3,FL2,FL1,FC3,FC2,FC1
"cis-muurola-4(15),5-diene",32.925,4264200,6313617,8765117,8625399,9120892,9992582,8353311,9624306,13024379,13383199,17984364,15557360,5915958,6606573,8721558,3195405,3850189,4252983,8745081,9167196,11280358,5967282,7301377,10096917
Germacrene D,33.71,16325114,26450735,37734877,30471444,33908926,36927202,33676051,37084333,55726071,50431019,65823790,57373374,22080249,26852637,32791122,12237954,14059889,15334436,35116585,36040515,44223397,23701149,28531815,40051763
bicyclogermacrene,34.367,8579294,14308968,20374598,21277721,22494739,24936753,20372272,22858679,34542913,30001598,41561283,34138139,11183541,13962660,17189802,8608790,9339105,11112565,24519497,24827365,32678283,14232604,18083401,25835500
alpha-bulnesene,34.592,10825971,22819277,34351367,32845522,30329455,38977991,20719100,27173282,40158199,40596827,60790048,52774625,12717620,16479184,20227217,11639463,14039372,16760474,26717304,27071122,36957061,23469217,28066396,41617633
gamma-cadinene,35.038,21564312,32038260,45795918,40756070,43669715,46742098,46007475,,65586088,62222812,81788973,71227424,27746923,33312782,41756449,16138191,19724384,22445966,41357462,43571305,53711077,30017221,36734312,52006795
delta-cadinene,35.284,3377933,4430419,6276079,6730039,6480840,7620839,7562147,7722994,9155678,10014715,11372768,10726241,4293986,4677756,6525059,2078563,2794339,3241264,5519718,5647038,6832582,3763699,4940306,6362033
sesquiterpene b,35.55,,1671351,2675716,2180539,2365728,2905651,3370177,3706038,6378595,3027953,4131862,3767217,1520569,1932233,2694651,,,,3128386,3305244,4224600,1648926,2031661,3659152
alpha-cadinene,35.97,,,2105035,1687582,1690241,2192149,1770801,2029540,3046050,2390278,3682047,3331511,,,2047468,,,,1648828,1820866,2386242,,1616883,2408474
nerolidol,37.08,,,,,,,,,1515706,,,,,,,,,,,,1495231,,,560653
epicubenol,38.984,3210044,3240994,3607835,5386858,4901826,5712703,5194252,5659342,7768529,8545200,7865917,8402476,3285299,3121576,4571255,2087172,2431556,2377716,4555706,5062462,6072380,2432748,3430447,3915459
tau-cadinol,40.008,27766978,27520471,29374942,41361288,38519842,42126255,39868124,42773225,58566437,63248748,52498841,62266607,26401544,25633156,35880790,17212911,20055542,18133660,33179171,37631052,44941051,20276472,27871539,29066029
