"","EXP.ID","COMPOUND","RT","ABUNDANCE","PROFILE.ID"
"1","20160501OB-UV-2","Eucalyptol",13.147,159959286,"PC3"
"2","20160501OB-UV-2","Ocimene",14.001,3677237,"PC3"
"3","20160501OB-UV-2","gamma-terpinene",14.494,NA,"PC3"
"4","20160501OB-UV-2","terpinolene",15.882,2075340,"PC3"
"5","20160501OB-UV-2","linalool",16.701,444912778,"PC3"
"6","20160501OB-UV-2","camphor",18.747,8014027,"PC3"
"7","20160501OB-UV-2","endo-borneol",19.99,4668111,"PC3"
"8","20160501OB-UV-2","terpinen-4-ol",20.432,2662011,"PC3"
"9","20160501OB-UV-2","alpha-terpineol",21.169,23647680,"PC3"
"10","20160501OB-UV-2","octyl acetate",22.111,3376556,"PC3"
"11","20160501OB-UV-2","chavicol",23.917,NA,"PC3"
"12","20160501OB-UV-2","bornyl acetate",25.34,27030702,"PC3"
"13","20160501OB-UV-2","gamma-elemene",27.455,5567320,"PC3"
"14","20160501OB-UV-2","alpha-cubebene",28.129,NA,"PC3"
"15","20160501OB-UV-2","eugenol",28.48,1734058109,"PC3"
"16","20160501OB-UV-2","alpha-copaene",29.346,2250975,"PC3"
"17","20160501OB-UV-2","beta-elemene",29.659,2105170,"PC3"
"18","20160501OB-UV-2","sesquiterpene a",29.978,37446762,"PC3"
"19","20160501OB-UV-2","methyleugenol",30.5,5833370,"PC3"
"20","20160501OB-UV-2","trans-alpha-bergamotene",31,NA,"PC3"
"21","20160501OB-UV-2","beta-ylangene",31.129,4731659,"PC3"
"22","20160501OB-UV-2","cis-alpha-bergamotene",31.879,143430250,"PC3"
"23","20160501OB-UV-2","alpha-copaene",32.28,2911369,"PC3"
"24","20160501OB-UV-2","humulene",32.644,12119648,"PC3"
"25","20160501OB-UV-2","cis-beta-farnesene",32.767,7176019,"PC3"
"26","20160501OB-UV-2","cis-muurola-4(15),5-diene",32.925,8353311,"PC3"
"27","20160501OB-UV-2","Germacrene D",33.71,33676051,"PC3"
"28","20160501OB-UV-2","bicyclogermacrene",34.367,20372272,"PC3"
"29","20160501OB-UV-2","alpha-bulnesene",34.592,20719100,"PC3"
"30","20160501OB-UV-2","gamma-cadinene",35.038,46007475,"PC3"
"31","20160501OB-UV-2","delta-cadinene",35.284,7562147,"PC3"
"32","20160501OB-UV-2","sesquiterpene b",35.55,3370177,"PC3"
"33","20160501OB-UV-2","alpha-cadinene",35.97,1770801,"PC3"
"34","20160501OB-UV-2","nerolidol",37.08,NA,"PC3"
"35","20160501OB-UV-2","epicubenol",38.984,5194252,"PC3"
"36","20160501OB-UV-2","tau-cadinol",40.008,39868124,"PC3"
