,EXP.ID,COMPOUND,RT,ABUNDANCE,PROFILE.ID
,20160515OB-UVC-1,β-Pinene,10.874,22246700,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,β-Myrcene,11.712,8871002,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,Eucalyptol,13.51,249561886,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,β-cis-Ocimene,14.506,29318182,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,Terpinolene,16.388,12999311,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,Linalool,17.086,197227362,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,d-Camphor,19.026,13746793,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,endo-Borneol,20.078,7944088,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,Terpinen-4-ol,20.669,,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,α-Terpineol,21.32,24232393,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,Bornyl acetate,25.781,16500831,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,sesquiterpene a,28.041,11847155,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,Eugenol,29.151,1251956533,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,Copaene,29.729,8571993,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,trans-Methyl cinnamate,30.02,16428749,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,sesquiterpene b,30.144,,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,β-Elemene,30.446,44209903,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,Methyleugenol,31.083,619045671,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,β-ylangene,31.525,15074499,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,sesquiterpene c,31.942,,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,trans-α-Bergamotene,32.311,314106677,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,caryophyllene,32.582,,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,sesquiterpene d,32.683,5933525,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,Humulene,32.947,45241086,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,(E)-β-Famesene,33.219,193058909,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,sesquiterpene e,33.339,8637533,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,γ-Muurolene,33.934,,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,sesquiterpene f,34.086,59022038,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,Isocaryophillene,34.27,21081802,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,sesquiterpene g,34.712,29547405,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,sesquiterpene h,34.831,8649664,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,δ-Guaiene,35.108,28778162,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,β-Bisabolene,35.256,8211301,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,γ-Cadinene,35.424,36159569,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,sesquiterpene i,35.832,17801437,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,α-Cadinene,36.339,,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,cubenol,39.305,,20160515OB-UVC-1-U-L-1
,20160515OB-UVC-1,T-Cadinol,40.271,21948207,20160515OB-UVC-1-U-L-1
