"","EXP.ID","COMPOUND","RT","ABUNDANCE","PROFILE.ID"
"1","20160501OB-UV-2","Eucalyptol",13.147,244353159,"IL2"
"2","20160501OB-UV-2","Ocimene",14.001,31308842,"IL2"
"3","20160501OB-UV-2","gamma-terpinene",14.494,3219910,"IL2"
"4","20160501OB-UV-2","terpinolene",15.882,8757443,"IL2"
"5","20160501OB-UV-2","linalool",16.701,806993259,"IL2"
"6","20160501OB-UV-2","camphor",18.747,NA,"IL2"
"7","20160501OB-UV-2","endo-borneol",19.99,24674027,"IL2"
"8","20160501OB-UV-2","terpinen-4-ol",20.432,3280525,"IL2"
"9","20160501OB-UV-2","alpha-terpineol",21.169,27352996,"IL2"
"10","20160501OB-UV-2","octyl acetate",22.111,NA,"IL2"
"11","20160501OB-UV-2","chavicol",23.917,4909030,"IL2"
"12","20160501OB-UV-2","bornyl acetate",25.34,18020091,"IL2"
"13","20160501OB-UV-2","gamma-elemene",27.455,10918138,"IL2"
"14","20160501OB-UV-2","alpha-cubebene",28.129,2404711,"IL2"
"15","20160501OB-UV-2","eugenol",28.48,1709258632,"IL2"
"16","20160501OB-UV-2","alpha-copaene",29.346,8418596,"IL2"
"17","20160501OB-UV-2","beta-elemene",29.659,7348271,"IL2"
"18","20160501OB-UV-2","sesquiterpene a",29.978,77761548,"IL2"
"19","20160501OB-UV-2","methyleugenol",30.5,2108563,"IL2"
"20","20160501OB-UV-2","trans-alpha-bergamotene",31,2193942,"IL2"
"21","20160501OB-UV-2","beta-ylangene",31.129,8983783,"IL2"
"22","20160501OB-UV-2","cis-alpha-bergamotene",31.879,192063208,"IL2"
"23","20160501OB-UV-2","alpha-copaene",32.28,11797161,"IL2"
"24","20160501OB-UV-2","humulene",32.644,19099259,"IL2"
"25","20160501OB-UV-2","cis-beta-farnesene",32.767,24002389,"IL2"
"26","20160501OB-UV-2","cis-muurola-4(15),5-diene",32.925,17984364,"IL2"
"27","20160501OB-UV-2","Germacrene D",33.71,65823790,"IL2"
"28","20160501OB-UV-2","bicyclogermacrene",34.367,41561283,"IL2"
"29","20160501OB-UV-2","alpha-bulnesene",34.592,60790048,"IL2"
"30","20160501OB-UV-2","gamma-cadinene",35.038,81788973,"IL2"
"31","20160501OB-UV-2","delta-cadinene",35.284,11372768,"IL2"
"32","20160501OB-UV-2","sesquiterpene b",35.55,4131862,"IL2"
"33","20160501OB-UV-2","alpha-cadinene",35.97,3682047,"IL2"
"34","20160501OB-UV-2","nerolidol",37.08,NA,"IL2"
"35","20160501OB-UV-2","epicubenol",38.984,7865917,"IL2"
"36","20160501OB-UV-2","tau-cadinol",40.008,52498841,"IL2"
