"","EXP.ID","COMPOUND","RT","ABUNDANCE","PROFILE.ID"
"1","20160501OB-UV-2","Eucalyptol",13.147,110329982,"IC1"
"2","20160501OB-UV-2","Ocimene",14.001,19512349,"IC1"
"3","20160501OB-UV-2","gamma-terpinene",14.494,NA,"IC1"
"4","20160501OB-UV-2","terpinolene",15.882,2856907,"IC1"
"5","20160501OB-UV-2","linalool",16.701,375691466,"IC1"
"6","20160501OB-UV-2","camphor",18.747,4370273,"IC1"
"7","20160501OB-UV-2","endo-borneol",19.99,2693129,"IC1"
"8","20160501OB-UV-2","terpinen-4-ol",20.432,NA,"IC1"
"9","20160501OB-UV-2","alpha-terpineol",21.169,13251461,"IC1"
"10","20160501OB-UV-2","octyl acetate",22.111,3864535,"IC1"
"11","20160501OB-UV-2","chavicol",23.917,2266303,"IC1"
"12","20160501OB-UV-2","bornyl acetate",25.34,19559779,"IC1"
"13","20160501OB-UV-2","gamma-elemene",27.455,4784096,"IC1"
"14","20160501OB-UV-2","alpha-cubebene",28.129,NA,"IC1"
"15","20160501OB-UV-2","eugenol",28.48,1268195882,"IC1"
"16","20160501OB-UV-2","alpha-copaene",29.346,2350005,"IC1"
"17","20160501OB-UV-2","beta-elemene",29.659,1708293,"IC1"
"18","20160501OB-UV-2","sesquiterpene a",29.978,28993677,"IC1"
"19","20160501OB-UV-2","methyleugenol",30.5,4526265,"IC1"
"20","20160501OB-UV-2","trans-alpha-bergamotene",31,NA,"IC1"
"21","20160501OB-UV-2","beta-ylangene",31.129,4219326,"IC1"
"22","20160501OB-UV-2","cis-alpha-bergamotene",31.879,122482536,"IC1"
"23","20160501OB-UV-2","alpha-copaene",32.28,4548509,"IC1"
"24","20160501OB-UV-2","humulene",32.644,9125133,"IC1"
"25","20160501OB-UV-2","cis-beta-farnesene",32.767,6614413,"IC1"
"26","20160501OB-UV-2","cis-muurola-4(15),5-diene",32.925,8721558,"IC1"
"27","20160501OB-UV-2","Germacrene D",33.71,32791122,"IC1"
"28","20160501OB-UV-2","bicyclogermacrene",34.367,17189802,"IC1"
"29","20160501OB-UV-2","alpha-bulnesene",34.592,20227217,"IC1"
"30","20160501OB-UV-2","gamma-cadinene",35.038,41756449,"IC1"
"31","20160501OB-UV-2","delta-cadinene",35.284,6525059,"IC1"
"32","20160501OB-UV-2","sesquiterpene b",35.55,2694651,"IC1"
"33","20160501OB-UV-2","alpha-cadinene",35.97,2047468,"IC1"
"34","20160501OB-UV-2","nerolidol",37.08,NA,"IC1"
"35","20160501OB-UV-2","epicubenol",38.984,4571255,"IC1"
"36","20160501OB-UV-2","tau-cadinol",40.008,35880790,"IC1"
