"","EXP.ID","COMPOUND","RT","ABUNDANCE","PROFILE.ID"
"1","20160501OB-UV-2","Eucalyptol",13.147,104107203,"FC1"
"2","20160501OB-UV-2","Ocimene",14.001,12519775,"FC1"
"3","20160501OB-UV-2","gamma-terpinene",14.494,1129614,"FC1"
"4","20160501OB-UV-2","terpinolene",15.882,2868295,"FC1"
"5","20160501OB-UV-2","linalool",16.701,291226657,"FC1"
"6","20160501OB-UV-2","camphor",18.747,2184760,"FC1"
"7","20160501OB-UV-2","endo-borneol",19.99,7810074,"FC1"
"8","20160501OB-UV-2","terpinen-4-ol",20.432,1398091,"FC1"
"9","20160501OB-UV-2","alpha-terpineol",21.169,11639419,"FC1"
"10","20160501OB-UV-2","octyl acetate",22.111,1224460,"FC1"
"11","20160501OB-UV-2","chavicol",23.917,1743810,"FC1"
"12","20160501OB-UV-2","bornyl acetate",25.34,17485743,"FC1"
"13","20160501OB-UV-2","gamma-elemene",27.455,6301078,"FC1"
"14","20160501OB-UV-2","alpha-cubebene",28.129,801117,"FC1"
"15","20160501OB-UV-2","eugenol",28.48,960817630,"FC1"
"16","20160501OB-UV-2","alpha-copaene",29.346,3085367,"FC1"
"17","20160501OB-UV-2","beta-elemene",29.659,2985936,"FC1"
"18","20160501OB-UV-2","sesquiterpene a",29.978,50997919,"FC1"
"19","20160501OB-UV-2","methyleugenol",30.5,1687972,"FC1"
"20","20160501OB-UV-2","trans-alpha-bergamotene",31,984766,"FC1"
"21","20160501OB-UV-2","beta-ylangene",31.129,5402460,"FC1"
"22","20160501OB-UV-2","cis-alpha-bergamotene",31.879,159783096,"FC1"
"23","20160501OB-UV-2","alpha-copaene",32.28,5507326,"FC1"
"24","20160501OB-UV-2","humulene",32.644,13036115,"FC1"
"25","20160501OB-UV-2","cis-beta-farnesene",32.767,13180178,"FC1"
"26","20160501OB-UV-2","cis-muurola-4(15),5-diene",32.925,10096917,"FC1"
"27","20160501OB-UV-2","Germacrene D",33.71,40051763,"FC1"
"28","20160501OB-UV-2","bicyclogermacrene",34.367,25835500,"FC1"
"29","20160501OB-UV-2","alpha-bulnesene",34.592,41617633,"FC1"
"30","20160501OB-UV-2","gamma-cadinene",35.038,52006795,"FC1"
"31","20160501OB-UV-2","delta-cadinene",35.284,6362033,"FC1"
"32","20160501OB-UV-2","sesquiterpene b",35.55,3659152,"FC1"
"33","20160501OB-UV-2","alpha-cadinene",35.97,2408474,"FC1"
"34","20160501OB-UV-2","nerolidol",37.08,560653,"FC1"
"35","20160501OB-UV-2","epicubenol",38.984,3915459,"FC1"
"36","20160501OB-UV-2","tau-cadinol",40.008,29066029,"FC1"
