"","EXP.ID","COMPOUND","RT","ABUNDANCE","PROFILE.ID"
"1","20160501OB-UV-2","Eucalyptol",13.147,263809137,"FL3"
"2","20160501OB-UV-2","Ocimene",14.001,33337855,"FL3"
"3","20160501OB-UV-2","gamma-terpinene",14.494,3157780,"FL3"
"4","20160501OB-UV-2","terpinolene",15.882,7736146,"FL3"
"5","20160501OB-UV-2","linalool",16.701,485869251,"FL3"
"6","20160501OB-UV-2","camphor",18.747,5193933,"FL3"
"7","20160501OB-UV-2","endo-borneol",19.99,10274657,"FL3"
"8","20160501OB-UV-2","terpinen-4-ol",20.432,4312592,"FL3"
"9","20160501OB-UV-2","alpha-terpineol",21.169,37726840,"FL3"
"10","20160501OB-UV-2","octyl acetate",22.111,3763406,"FL3"
"11","20160501OB-UV-2","chavicol",23.917,6843868,"FL3"
"12","20160501OB-UV-2","bornyl acetate",25.34,37491760,"FL3"
"13","20160501OB-UV-2","gamma-elemene",27.455,6318216,"FL3"
"14","20160501OB-UV-2","alpha-cubebene",28.129,NA,"FL3"
"15","20160501OB-UV-2","eugenol",28.48,1976449140,"FL3"
"16","20160501OB-UV-2","alpha-copaene",29.346,2853146,"FL3"
"17","20160501OB-UV-2","beta-elemene",29.659,4310511,"FL3"
"18","20160501OB-UV-2","sesquiterpene a",29.978,49304792,"FL3"
"19","20160501OB-UV-2","methyleugenol",30.5,4613719,"FL3"
"20","20160501OB-UV-2","trans-alpha-bergamotene",31,1533290,"FL3"
"21","20160501OB-UV-2","beta-ylangene",31.129,5964924,"FL3"
"22","20160501OB-UV-2","cis-alpha-bergamotene",31.879,146280029,"FL3"
"23","20160501OB-UV-2","alpha-copaene",32.28,4691865,"FL3"
"24","20160501OB-UV-2","humulene",32.644,15604061,"FL3"
"25","20160501OB-UV-2","cis-beta-farnesene",32.767,10917490,"FL3"
"26","20160501OB-UV-2","cis-muurola-4(15),5-diene",32.925,8745081,"FL3"
"27","20160501OB-UV-2","Germacrene D",33.71,35116585,"FL3"
"28","20160501OB-UV-2","bicyclogermacrene",34.367,24519497,"FL3"
"29","20160501OB-UV-2","alpha-bulnesene",34.592,26717304,"FL3"
"30","20160501OB-UV-2","gamma-cadinene",35.038,41357462,"FL3"
"31","20160501OB-UV-2","delta-cadinene",35.284,5519718,"FL3"
"32","20160501OB-UV-2","sesquiterpene b",35.55,3128386,"FL3"
"33","20160501OB-UV-2","alpha-cadinene",35.97,1648828,"FL3"
"34","20160501OB-UV-2","nerolidol",37.08,NA,"FL3"
"35","20160501OB-UV-2","epicubenol",38.984,4555706,"FL3"
"36","20160501OB-UV-2","tau-cadinol",40.008,33179171,"FL3"
