"","EXP.ID","COMPOUND","RT","ABUNDANCE","PROFILE.ID"
"1","20160501OB-UV-2","Eucalyptol",13.147,168671957,"IC3"
"2","20160501OB-UV-2","Ocimene",14.001,24641664,"IC3"
"3","20160501OB-UV-2","gamma-terpinene",14.494,NA,"IC3"
"4","20160501OB-UV-2","terpinolene",15.882,3276543,"IC3"
"5","20160501OB-UV-2","linalool",16.701,445124460,"IC3"
"6","20160501OB-UV-2","camphor",18.747,6100300,"IC3"
"7","20160501OB-UV-2","endo-borneol",19.99,3174799,"IC3"
"8","20160501OB-UV-2","terpinen-4-ol",20.432,2501470,"IC3"
"9","20160501OB-UV-2","alpha-terpineol",21.169,15078426,"IC3"
"10","20160501OB-UV-2","octyl acetate",22.111,3112306,"IC3"
"11","20160501OB-UV-2","chavicol",23.917,1797205,"IC3"
"12","20160501OB-UV-2","bornyl acetate",25.34,18118963,"IC3"
"13","20160501OB-UV-2","gamma-elemene",27.455,2995191,"IC3"
"14","20160501OB-UV-2","alpha-cubebene",28.129,NA,"IC3"
"15","20160501OB-UV-2","eugenol",28.48,1319516980,"IC3"
"16","20160501OB-UV-2","alpha-copaene",29.346,1946679,"IC3"
"17","20160501OB-UV-2","beta-elemene",29.659,NA,"IC3"
"18","20160501OB-UV-2","sesquiterpene a",29.978,19694175,"IC3"
"19","20160501OB-UV-2","methyleugenol",30.5,4434749,"IC3"
"20","20160501OB-UV-2","trans-alpha-bergamotene",31,NA,"IC3"
"21","20160501OB-UV-2","beta-ylangene",31.129,3013994,"IC3"
"22","20160501OB-UV-2","cis-alpha-bergamotene",31.879,94832001,"IC3"
"23","20160501OB-UV-2","alpha-copaene",32.28,3408790,"IC3"
"24","20160501OB-UV-2","humulene",32.644,6565443,"IC3"
"25","20160501OB-UV-2","cis-beta-farnesene",32.767,4512485,"IC3"
"26","20160501OB-UV-2","cis-muurola-4(15),5-diene",32.925,5915958,"IC3"
"27","20160501OB-UV-2","Germacrene D",33.71,22080249,"IC3"
"28","20160501OB-UV-2","bicyclogermacrene",34.367,11183541,"IC3"
"29","20160501OB-UV-2","alpha-bulnesene",34.592,12717620,"IC3"
"30","20160501OB-UV-2","gamma-cadinene",35.038,27746923,"IC3"
"31","20160501OB-UV-2","delta-cadinene",35.284,4293986,"IC3"
"32","20160501OB-UV-2","sesquiterpene b",35.55,1520569,"IC3"
"33","20160501OB-UV-2","alpha-cadinene",35.97,NA,"IC3"
"34","20160501OB-UV-2","nerolidol",37.08,NA,"IC3"
"35","20160501OB-UV-2","epicubenol",38.984,3285299,"IC3"
"36","20160501OB-UV-2","tau-cadinol",40.008,26401544,"IC3"
