"","EXP.ID","COMPOUND","RT","ABUNDANCE","PROFILE.ID"
"1","20160501OB-UV-2","Eucalyptol",13.147,81463692,"PS2"
"2","20160501OB-UV-2","Ocimene",14.001,8057887,"PS2"
"3","20160501OB-UV-2","gamma-terpinene",14.494,NA,"PS2"
"4","20160501OB-UV-2","terpinolene",15.882,2469043,"PS2"
"5","20160501OB-UV-2","linalool",16.701,409560648,"PS2"
"6","20160501OB-UV-2","camphor",18.747,NA,"PS2"
"7","20160501OB-UV-2","endo-borneol",19.99,11555830,"PS2"
"8","20160501OB-UV-2","terpinen-4-ol",20.432,NA,"PS2"
"9","20160501OB-UV-2","alpha-terpineol",21.169,10909962,"PS2"
"10","20160501OB-UV-2","octyl acetate",22.111,NA,"PS2"
"11","20160501OB-UV-2","chavicol",23.917,1925982,"PS2"
"12","20160501OB-UV-2","bornyl acetate",25.34,6771742,"PS2"
"13","20160501OB-UV-2","gamma-elemene",27.455,3757121,"PS2"
"14","20160501OB-UV-2","alpha-cubebene",28.129,NA,"PS2"
"15","20160501OB-UV-2","eugenol",28.48,1030940593,"PS2"
"16","20160501OB-UV-2","alpha-copaene",29.346,3524968,"PS2"
"17","20160501OB-UV-2","beta-elemene",29.659,NA,"PS2"
"18","20160501OB-UV-2","sesquiterpene a",29.978,24838545,"PS2"
"19","20160501OB-UV-2","methyleugenol",30.5,4783772,"PS2"
"20","20160501OB-UV-2","trans-alpha-bergamotene",31,NA,"PS2"
"21","20160501OB-UV-2","beta-ylangene",31.129,3155128,"PS2"
"22","20160501OB-UV-2","cis-alpha-bergamotene",31.879,93460853,"PS2"
"23","20160501OB-UV-2","alpha-copaene",32.28,2495976,"PS2"
"24","20160501OB-UV-2","humulene",32.644,7125704,"PS2"
"25","20160501OB-UV-2","cis-beta-farnesene",32.767,38316473,"PS2"
"26","20160501OB-UV-2","cis-muurola-4(15),5-diene",32.925,6313617,"PS2"
"27","20160501OB-UV-2","Germacrene D",33.71,26450735,"PS2"
"28","20160501OB-UV-2","bicyclogermacrene",34.367,14308968,"PS2"
"29","20160501OB-UV-2","alpha-bulnesene",34.592,22819277,"PS2"
"30","20160501OB-UV-2","gamma-cadinene",35.038,32038260,"PS2"
"31","20160501OB-UV-2","delta-cadinene",35.284,4430419,"PS2"
"32","20160501OB-UV-2","sesquiterpene b",35.55,1671351,"PS2"
"33","20160501OB-UV-2","alpha-cadinene",35.97,NA,"PS2"
"34","20160501OB-UV-2","nerolidol",37.08,NA,"PS2"
"35","20160501OB-UV-2","epicubenol",38.984,3240994,"PS2"
"36","20160501OB-UV-2","tau-cadinol",40.008,27520471,"PS2"
