"","EXP.ID","COMPOUND","RT","ABUNDANCE","PROFILE.ID"
"1","20160501OB-UV-2","Eucalyptol",13.147,130014619,"FS3"
"2","20160501OB-UV-2","Ocimene",14.001,11787685,"FS3"
"3","20160501OB-UV-2","gamma-terpinene",14.494,NA,"FS3"
"4","20160501OB-UV-2","terpinolene",15.882,NA,"FS3"
"5","20160501OB-UV-2","linalool",16.701,418902403,"FS3"
"6","20160501OB-UV-2","camphor",18.747,2574418,"FS3"
"7","20160501OB-UV-2","endo-borneol",19.99,9344665,"FS3"
"8","20160501OB-UV-2","terpinen-4-ol",20.432,NA,"FS3"
"9","20160501OB-UV-2","alpha-terpineol",21.169,11893725,"FS3"
"10","20160501OB-UV-2","octyl acetate",22.111,NA,"FS3"
"11","20160501OB-UV-2","chavicol",23.917,NA,"FS3"
"12","20160501OB-UV-2","bornyl acetate",25.34,11269502,"FS3"
"13","20160501OB-UV-2","gamma-elemene",27.455,2116831,"FS3"
"14","20160501OB-UV-2","alpha-cubebene",28.129,NA,"FS3"
"15","20160501OB-UV-2","eugenol",28.48,643720006,"FS3"
"16","20160501OB-UV-2","alpha-copaene",29.346,NA,"FS3"
"17","20160501OB-UV-2","beta-elemene",29.659,2269405,"FS3"
"18","20160501OB-UV-2","sesquiterpene a",29.978,18647125,"FS3"
"19","20160501OB-UV-2","methyleugenol",30.5,2112577,"FS3"
"20","20160501OB-UV-2","trans-alpha-bergamotene",31,NA,"FS3"
"21","20160501OB-UV-2","beta-ylangene",31.129,2042220,"FS3"
"22","20160501OB-UV-2","cis-alpha-bergamotene",31.879,62678232,"FS3"
"23","20160501OB-UV-2","alpha-copaene",32.28,NA,"FS3"
"24","20160501OB-UV-2","humulene",32.644,5152417,"FS3"
"25","20160501OB-UV-2","cis-beta-farnesene",32.767,5553499,"FS3"
"26","20160501OB-UV-2","cis-muurola-4(15),5-diene",32.925,3195405,"FS3"
"27","20160501OB-UV-2","Germacrene D",33.71,12237954,"FS3"
"28","20160501OB-UV-2","bicyclogermacrene",34.367,8608790,"FS3"
"29","20160501OB-UV-2","alpha-bulnesene",34.592,11639463,"FS3"
"30","20160501OB-UV-2","gamma-cadinene",35.038,16138191,"FS3"
"31","20160501OB-UV-2","delta-cadinene",35.284,2078563,"FS3"
"32","20160501OB-UV-2","sesquiterpene b",35.55,NA,"FS3"
"33","20160501OB-UV-2","alpha-cadinene",35.97,NA,"FS3"
"34","20160501OB-UV-2","nerolidol",37.08,NA,"FS3"
"35","20160501OB-UV-2","epicubenol",38.984,2087172,"FS3"
"36","20160501OB-UV-2","tau-cadinol",40.008,17212911,"FS3"
