"","EXP.ID","COMPOUND","RT","ABUNDANCE","PROFILE.ID"
"1","20160501OB-UV-2","Eucalyptol",13.147,75081453,"PS1"
"2","20160501OB-UV-2","Ocimene",14.001,7967479,"PS1"
"3","20160501OB-UV-2","gamma-terpinene",14.494,NA,"PS1"
"4","20160501OB-UV-2","terpinolene",15.882,2249647,"PS1"
"5","20160501OB-UV-2","linalool",16.701,381749433,"PS1"
"6","20160501OB-UV-2","camphor",18.747,NA,"PS1"
"7","20160501OB-UV-2","endo-borneol",19.99,9743837,"PS1"
"8","20160501OB-UV-2","terpinen-4-ol",20.432,NA,"PS1"
"9","20160501OB-UV-2","alpha-terpineol",21.169,9023300,"PS1"
"10","20160501OB-UV-2","octyl acetate",22.111,NA,"PS1"
"11","20160501OB-UV-2","chavicol",23.917,1703102,"PS1"
"12","20160501OB-UV-2","bornyl acetate",25.34,8035372,"PS1"
"13","20160501OB-UV-2","gamma-elemene",27.455,5464240,"PS1"
"14","20160501OB-UV-2","alpha-cubebene",28.129,1390072,"PS1"
"15","20160501OB-UV-2","eugenol",28.48,941010780,"PS1"
"16","20160501OB-UV-2","alpha-copaene",29.346,4527049,"PS1"
"17","20160501OB-UV-2","beta-elemene",29.659,2533859,"PS1"
"18","20160501OB-UV-2","sesquiterpene a",29.978,34462700,"PS1"
"19","20160501OB-UV-2","methyleugenol",30.5,4550674,"PS1"
"20","20160501OB-UV-2","trans-alpha-bergamotene",31,NA,"PS1"
"21","20160501OB-UV-2","beta-ylangene",31.129,4504529,"PS1"
"22","20160501OB-UV-2","cis-alpha-bergamotene",31.879,123667216,"PS1"
"23","20160501OB-UV-2","alpha-copaene",32.28,4608007,"PS1"
"24","20160501OB-UV-2","humulene",32.644,9767079,"PS1"
"25","20160501OB-UV-2","cis-beta-farnesene",32.767,55361846,"PS1"
"26","20160501OB-UV-2","cis-muurola-4(15),5-diene",32.925,8765117,"PS1"
"27","20160501OB-UV-2","Germacrene D",33.71,37734877,"PS1"
"28","20160501OB-UV-2","bicyclogermacrene",34.367,20374598,"PS1"
"29","20160501OB-UV-2","alpha-bulnesene",34.592,34351367,"PS1"
"30","20160501OB-UV-2","gamma-cadinene",35.038,45795918,"PS1"
"31","20160501OB-UV-2","delta-cadinene",35.284,6276079,"PS1"
"32","20160501OB-UV-2","sesquiterpene b",35.55,2675716,"PS1"
"33","20160501OB-UV-2","alpha-cadinene",35.97,2105035,"PS1"
"34","20160501OB-UV-2","nerolidol",37.08,NA,"PS1"
"35","20160501OB-UV-2","epicubenol",38.984,3607835,"PS1"
"36","20160501OB-UV-2","tau-cadinol",40.008,29374942,"PS1"
