"","EXP.ID","COMPOUND","RT","ABUNDANCE","PROFILE.ID"
"1","20161017OB-UV-3","Eucalyptol",12.85,353787190,"U17.I"
"2","20161017OB-UV-3","Ocimene",13.675,30184181,"U17.I"
"3","20161017OB-UV-3","terpinolene",15.484,4331263,"U17.I"
"4","20161017OB-UV-3","linalool",16.454,512715845,"U17.I"
"5","20161017OB-UV-3","camphor",18.412,2764846,"U17.I"
"6","20161017OB-UV-3","endo-borneol",19.658,4723285,"U17.I"
"7","20161017OB-UV-3","alpha-terpineol",20.847,6113834,"U17.I"
"8","20161017OB-UV-3","octyl acetate",21.77,4103683,"U17.I"
"9","20161017OB-UV-3","chavicol",23.6,252728,"U17.I"
"10","20161017OB-UV-3","bornyl acetate",25.005,15244110,"U17.I"
"11","20161017OB-UV-3","gamma-elemene",27.114,6628808,"U17.I"
"12","20161017OB-UV-3","eugenol",28.252,375598899,"U17.I"
"13","20161017OB-UV-3","alpha-copaene",29.001,4222496,"U17.I"
"14","20161017OB-UV-3","beta-elemene",29.342,2488576,"U17.I"
"15","20161017OB-UV-3","sesquiterpene a",29.653,33807334,"U17.I"
"16","20161017OB-UV-3","methyleugenol",29.833,1218553,"U17.I"
"17","20161017OB-UV-3","trans-alpha-bergamotene",30.658,1172299,"U17.I"
"18","20161017OB-UV-3","beta-ylangene",30.797,4951674,"U17.I"
"19","20161017OB-UV-3","cis-alpha-bergamotene",31.623,328823319,"U17.I"
"20","20161017OB-UV-3","alpha-copaene",31.977,6406102,"U17.I"
"21","20161017OB-UV-3","humulene",32.347,9746874,"U17.I"
"22","20161017OB-UV-3","cis-beta-farnesene",32.438,8736052,"U17.I"
"23","20161017OB-UV-3","cis-muurola-4(15),5-diene",32.606,6697357,"U17.I"
"24","20161017OB-UV-3","Germacrene D",33.4,21723423,"U17.I"
"25","20161017OB-UV-3","bicyclogermacrene",33.985,12105686,"U17.I"
"26","20161017OB-UV-3","alpha-bulnesene",34.263,19255416,"U17.I"
"27","20161017OB-UV-3","gamma-cadinene",34.731,24079509,"U17.I"
"28","20161017OB-UV-3","delta-cadinene",34.93,2724502,"U17.I"
"29","20161017OB-UV-3","sesquiterpene b",35.202,2509830,"U17.I"
"30","20161017OB-UV-3","alpha-cadinene",35.607,934394,"U17.I"
"31","20161017OB-UV-3","nerolidol",36.726,150428,"U17.I"
"32","20161017OB-UV-3","epicubenol",38.623,795091,"U17.I"
"33","20161017OB-UV-3","tau-cadinol",39.654,3801656,"U17.I"
