,EXP.ID,COMPOUND,RT,ABUNDANCE,PROFILE.ID
,20160515OB-UVC-1,β-Pinene,10.874,22441705,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,β-Myrcene,11.712,13663559,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,Eucalyptol,13.51,298415831,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,β-cis-Ocimene,14.506,53355123,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,Terpinolene,16.388,10876058,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,Linalool,17.086,648944050,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,d-Camphor,19.026,14028507,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,endo-Borneol,20.078,15345547,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,Terpinen-4-ol,20.669,6761191,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,α-Terpineol,21.32,39918310,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,Bornyl acetate,25.781,12509024,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,sesquiterpene a,28.041,23667651,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,Eugenol,29.151,2640635104,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,Copaene,29.729,12193796,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,trans-Methyl cinnamate,30.02,,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,sesquiterpene b,30.144,6333844,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,β-Elemene,30.446,95170959,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,Methyleugenol,31.083,146817932,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,β-ylangene,31.525,21786838,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,sesquiterpene c,31.942,6914424,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,trans-α-Bergamotene,32.311,371369063,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,caryophyllene,32.582,7941265,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,sesquiterpene d,32.683,15328663,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,Humulene,32.947,50442812,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,(E)-β-Famesene,33.219,63798162,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,sesquiterpene e,33.339,23249591,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,γ-Muurolene,33.934,,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,sesquiterpene f,34.086,103270087,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,Isocaryophillene,34.27,30554334,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,sesquiterpene g,34.712,56156858,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,sesquiterpene h,34.831,19231796,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,δ-Guaiene,35.108,56659722,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,β-Bisabolene,35.256,8836565,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,γ-Cadinene,35.424,86227049,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,sesquiterpene i,35.832,27867747,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,α-Cadinene,36.339,5923310,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,cubenol,39.305,9467914,20160515OB-UVC-1-C-L-1
,20160515OB-UVC-1,T-Cadinol,40.271,67989386,20160515OB-UVC-1-C-L-1
