"","EXP.ID","COMPOUND","RT","ABUNDANCE","PROFILE.ID"
"1","20160501OB-UV-2","Eucalyptol",13.147,120431770,"IC2"
"2","20160501OB-UV-2","Ocimene",14.001,16534926,"IC2"
"3","20160501OB-UV-2","gamma-terpinene",14.494,NA,"IC2"
"4","20160501OB-UV-2","terpinolene",15.882,2730613,"IC2"
"5","20160501OB-UV-2","linalool",16.701,364544696,"IC2"
"6","20160501OB-UV-2","camphor",18.747,4289496,"IC2"
"7","20160501OB-UV-2","endo-borneol",19.99,2487437,"IC2"
"8","20160501OB-UV-2","terpinen-4-ol",20.432,1786978,"IC2"
"9","20160501OB-UV-2","alpha-terpineol",21.169,13818178,"IC2"
"10","20160501OB-UV-2","octyl acetate",22.111,2786055,"IC2"
"11","20160501OB-UV-2","chavicol",23.917,2215267,"IC2"
"12","20160501OB-UV-2","bornyl acetate",25.34,15248596,"IC2"
"13","20160501OB-UV-2","gamma-elemene",27.455,3731586,"IC2"
"14","20160501OB-UV-2","alpha-cubebene",28.129,NA,"IC2"
"15","20160501OB-UV-2","eugenol",28.48,1241552408,"IC2"
"16","20160501OB-UV-2","alpha-copaene",29.346,1727127,"IC2"
"17","20160501OB-UV-2","beta-elemene",29.659,NA,"IC2"
"18","20160501OB-UV-2","sesquiterpene a",29.978,23612102,"IC2"
"19","20160501OB-UV-2","methyleugenol",30.5,3910203,"IC2"
"20","20160501OB-UV-2","trans-alpha-bergamotene",31,NA,"IC2"
"21","20160501OB-UV-2","beta-ylangene",31.129,3331758,"IC2"
"22","20160501OB-UV-2","cis-alpha-bergamotene",31.879,98494129,"IC2"
"23","20160501OB-UV-2","alpha-copaene",32.28,3426043,"IC2"
"24","20160501OB-UV-2","humulene",32.644,7311703,"IC2"
"25","20160501OB-UV-2","cis-beta-farnesene",32.767,5323816,"IC2"
"26","20160501OB-UV-2","cis-muurola-4(15),5-diene",32.925,6606573,"IC2"
"27","20160501OB-UV-2","Germacrene D",33.71,26852637,"IC2"
"28","20160501OB-UV-2","bicyclogermacrene",34.367,13962660,"IC2"
"29","20160501OB-UV-2","alpha-bulnesene",34.592,16479184,"IC2"
"30","20160501OB-UV-2","gamma-cadinene",35.038,33312782,"IC2"
"31","20160501OB-UV-2","delta-cadinene",35.284,4677756,"IC2"
"32","20160501OB-UV-2","sesquiterpene b",35.55,1932233,"IC2"
"33","20160501OB-UV-2","alpha-cadinene",35.97,NA,"IC2"
"34","20160501OB-UV-2","nerolidol",37.08,NA,"IC2"
"35","20160501OB-UV-2","epicubenol",38.984,3121576,"IC2"
"36","20160501OB-UV-2","tau-cadinol",40.008,25633156,"IC2"
