"","EXP.ID","COMPOUND","RT","ABUNDANCE","PROFILE.ID"
"1","20160501OB-UV-2","Eucalyptol",13.147,52300052,"PS3"
"2","20160501OB-UV-2","Ocimene",14.001,2881315,"PS3"
"3","20160501OB-UV-2","gamma-terpinene",14.494,NA,"PS3"
"4","20160501OB-UV-2","terpinolene",15.882,NA,"PS3"
"5","20160501OB-UV-2","linalool",16.701,361447857,"PS3"
"6","20160501OB-UV-2","camphor",18.747,NA,"PS3"
"7","20160501OB-UV-2","endo-borneol",19.99,11250812,"PS3"
"8","20160501OB-UV-2","terpinen-4-ol",20.432,NA,"PS3"
"9","20160501OB-UV-2","alpha-terpineol",21.169,11088816,"PS3"
"10","20160501OB-UV-2","octyl acetate",22.111,NA,"PS3"
"11","20160501OB-UV-2","chavicol",23.917,NA,"PS3"
"12","20160501OB-UV-2","bornyl acetate",25.34,5243099,"PS3"
"13","20160501OB-UV-2","gamma-elemene",27.455,2228565,"PS3"
"14","20160501OB-UV-2","alpha-cubebene",28.129,NA,"PS3"
"15","20160501OB-UV-2","eugenol",28.48,1048332882,"PS3"
"16","20160501OB-UV-2","alpha-copaene",29.346,2349295,"PS3"
"17","20160501OB-UV-2","beta-elemene",29.659,NA,"PS3"
"18","20160501OB-UV-2","sesquiterpene a",29.978,16435573,"PS3"
"19","20160501OB-UV-2","methyleugenol",30.5,5006533,"PS3"
"20","20160501OB-UV-2","trans-alpha-bergamotene",31,NA,"PS3"
"21","20160501OB-UV-2","beta-ylangene",31.129,2065877,"PS3"
"22","20160501OB-UV-2","cis-alpha-bergamotene",31.879,64461607,"PS3"
"23","20160501OB-UV-2","alpha-copaene",32.28,NA,"PS3"
"24","20160501OB-UV-2","humulene",32.644,4782004,"PS3"
"25","20160501OB-UV-2","cis-beta-farnesene",32.767,26505070,"PS3"
"26","20160501OB-UV-2","cis-muurola-4(15),5-diene",32.925,4264200,"PS3"
"27","20160501OB-UV-2","Germacrene D",33.71,16325114,"PS3"
"28","20160501OB-UV-2","bicyclogermacrene",34.367,8579294,"PS3"
"29","20160501OB-UV-2","alpha-bulnesene",34.592,10825971,"PS3"
"30","20160501OB-UV-2","gamma-cadinene",35.038,21564312,"PS3"
"31","20160501OB-UV-2","delta-cadinene",35.284,3377933,"PS3"
"32","20160501OB-UV-2","sesquiterpene b",35.55,NA,"PS3"
"33","20160501OB-UV-2","alpha-cadinene",35.97,NA,"PS3"
"34","20160501OB-UV-2","nerolidol",37.08,NA,"PS3"
"35","20160501OB-UV-2","epicubenol",38.984,3210044,"PS3"
"36","20160501OB-UV-2","tau-cadinol",40.008,27766978,"PS3"
