"","EXP.ID","COMPOUND","RT","ABUNDANCE","PROFILE.ID"
"1","20160501OB-UV-2","Eucalyptol",13.147,239045790,"FL2"
"2","20160501OB-UV-2","Ocimene",14.001,30430156,"FL2"
"3","20160501OB-UV-2","gamma-terpinene",14.494,2773025,"FL2"
"4","20160501OB-UV-2","terpinolene",15.882,7813367,"FL2"
"5","20160501OB-UV-2","linalool",16.701,471886320,"FL2"
"6","20160501OB-UV-2","camphor",18.747,4746553,"FL2"
"7","20160501OB-UV-2","endo-borneol",19.99,10479144,"FL2"
"8","20160501OB-UV-2","terpinen-4-ol",20.432,3746032,"FL2"
"9","20160501OB-UV-2","alpha-terpineol",21.169,36569447,"FL2"
"10","20160501OB-UV-2","octyl acetate",22.111,3985983,"FL2"
"11","20160501OB-UV-2","chavicol",23.917,6517388,"FL2"
"12","20160501OB-UV-2","bornyl acetate",25.34,41248904,"FL2"
"13","20160501OB-UV-2","gamma-elemene",27.455,6449896,"FL2"
"14","20160501OB-UV-2","alpha-cubebene",28.129,NA,"FL2"
"15","20160501OB-UV-2","eugenol",28.48,1933999648,"FL2"
"16","20160501OB-UV-2","alpha-copaene",29.346,2845889,"FL2"
"17","20160501OB-UV-2","beta-elemene",29.659,4557595,"FL2"
"18","20160501OB-UV-2","sesquiterpene a",29.978,51271555,"FL2"
"19","20160501OB-UV-2","methyleugenol",30.5,4856773,"FL2"
"20","20160501OB-UV-2","trans-alpha-bergamotene",31,1555708,"FL2"
"21","20160501OB-UV-2","beta-ylangene",31.129,6068585,"FL2"
"22","20160501OB-UV-2","cis-alpha-bergamotene",31.879,146556299,"FL2"
"23","20160501OB-UV-2","alpha-copaene",32.28,4908721,"FL2"
"24","20160501OB-UV-2","humulene",32.644,16074075,"FL2"
"25","20160501OB-UV-2","cis-beta-farnesene",32.767,11474768,"FL2"
"26","20160501OB-UV-2","cis-muurola-4(15),5-diene",32.925,9167196,"FL2"
"27","20160501OB-UV-2","Germacrene D",33.71,36040515,"FL2"
"28","20160501OB-UV-2","bicyclogermacrene",34.367,24827365,"FL2"
"29","20160501OB-UV-2","alpha-bulnesene",34.592,27071122,"FL2"
"30","20160501OB-UV-2","gamma-cadinene",35.038,43571305,"FL2"
"31","20160501OB-UV-2","delta-cadinene",35.284,5647038,"FL2"
"32","20160501OB-UV-2","sesquiterpene b",35.55,3305244,"FL2"
"33","20160501OB-UV-2","alpha-cadinene",35.97,1820866,"FL2"
"34","20160501OB-UV-2","nerolidol",37.08,NA,"FL2"
"35","20160501OB-UV-2","epicubenol",38.984,5062462,"FL2"
"36","20160501OB-UV-2","tau-cadinol",40.008,37631052,"FL2"
