"","EXP.ID","COMPOUND","RT","ABUNDANCE","PROFILE.ID"
"1","20161017OB-UV-3","Eucalyptol",12.85,14108698,"U14.P"
"2","20161017OB-UV-3","Ocimene",13.675,2211520,"U14.P"
"3","20161017OB-UV-3","terpinolene",15.484,143916,"U14.P"
"4","20161017OB-UV-3","linalool",16.454,28394181,"U14.P"
"5","20161017OB-UV-3","camphor",18.412,60806,"U14.P"
"6","20161017OB-UV-3","endo-borneol",19.658,214570,"U14.P"
"7","20161017OB-UV-3","alpha-terpineol",20.847,486418,"U14.P"
"8","20161017OB-UV-3","octyl acetate",21.77,729253,"U14.P"
"9","20161017OB-UV-3","chavicol",23.6,20560,"U14.P"
"10","20161017OB-UV-3","bornyl acetate",25.005,3363213,"U14.P"
"11","20161017OB-UV-3","gamma-elemene",27.114,1653941,"U14.P"
"12","20161017OB-UV-3","eugenol",28.252,22031859,"U14.P"
"13","20161017OB-UV-3","alpha-copaene",29.001,683753,"U14.P"
"14","20161017OB-UV-3","beta-elemene",29.342,854213,"U14.P"
"15","20161017OB-UV-3","sesquiterpene a",29.653,11166312,"U14.P"
"16","20161017OB-UV-3","methyleugenol",29.833,205772,"U14.P"
"17","20161017OB-UV-3","trans-alpha-bergamotene",30.658,243356,"U14.P"
"18","20161017OB-UV-3","beta-ylangene",30.797,1111102,"U14.P"
"19","20161017OB-UV-3","cis-alpha-bergamotene",31.623,32287123,"U14.P"
"20","20161017OB-UV-3","alpha-copaene",31.977,1079053,"U14.P"
"21","20161017OB-UV-3","humulene",32.347,2631516,"U14.P"
"22","20161017OB-UV-3","cis-beta-farnesene",32.438,3697471,"U14.P"
"23","20161017OB-UV-3","cis-muurola-4(15),5-diene",32.606,2049515,"U14.P"
"24","20161017OB-UV-3","Germacrene D",33.4,8643424,"U14.P"
"25","20161017OB-UV-3","bicyclogermacrene",33.985,4566137,"U14.P"
"26","20161017OB-UV-3","alpha-bulnesene",34.263,6421783,"U14.P"
"27","20161017OB-UV-3","gamma-cadinene",34.731,8058200,"U14.P"
"28","20161017OB-UV-3","delta-cadinene",34.93,320234,"U14.P"
"29","20161017OB-UV-3","sesquiterpene b",35.202,661165,"U14.P"
"30","20161017OB-UV-3","alpha-cadinene",35.607,132483,"U14.P"
"31","20161017OB-UV-3","nerolidol",36.726,24090,"U14.P"
"32","20161017OB-UV-3","epicubenol",38.623,139073,"U14.P"
"33","20161017OB-UV-3","tau-cadinol",39.654,771119,"U14.P"
