"","EXP.ID","COMPOUND","RT","ABUNDANCE","PROFILE.ID"
"1","20160501OB-UV-2","Eucalyptol",13.147,199881046,"PL1"
"2","20160501OB-UV-2","Ocimene",14.001,37377228,"PL1"
"3","20160501OB-UV-2","gamma-terpinene",14.494,NA,"PL1"
"4","20160501OB-UV-2","terpinolene",15.882,4703782,"PL1"
"5","20160501OB-UV-2","linalool",16.701,629051819,"PL1"
"6","20160501OB-UV-2","camphor",18.747,1844951,"PL1"
"7","20160501OB-UV-2","endo-borneol",19.99,15474425,"PL1"
"8","20160501OB-UV-2","terpinen-4-ol",20.432,NA,"PL1"
"9","20160501OB-UV-2","alpha-terpineol",21.169,14896712,"PL1"
"10","20160501OB-UV-2","octyl acetate",22.111,NA,"PL1"
"11","20160501OB-UV-2","chavicol",23.917,NA,"PL1"
"12","20160501OB-UV-2","bornyl acetate",25.34,23567629,"PL1"
"13","20160501OB-UV-2","gamma-elemene",27.455,6501711,"PL1"
"14","20160501OB-UV-2","alpha-cubebene",28.129,NA,"PL1"
"15","20160501OB-UV-2","eugenol",28.48,1116530461,"PL1"
"16","20160501OB-UV-2","alpha-copaene",29.346,4003823,"PL1"
"17","20160501OB-UV-2","beta-elemene",29.659,4670483,"PL1"
"18","20160501OB-UV-2","sesquiterpene a",29.978,49356271,"PL1"
"19","20160501OB-UV-2","methyleugenol",30.5,2545508,"PL1"
"20","20160501OB-UV-2","trans-alpha-bergamotene",31,NA,"PL1"
"21","20160501OB-UV-2","beta-ylangene",31.129,5845153,"PL1"
"22","20160501OB-UV-2","cis-alpha-bergamotene",31.879,154987978,"PL1"
"23","20160501OB-UV-2","alpha-copaene",32.28,5199275,"PL1"
"24","20160501OB-UV-2","humulene",32.644,14704722,"PL1"
"25","20160501OB-UV-2","cis-beta-farnesene",32.767,14350534,"PL1"
"26","20160501OB-UV-2","cis-muurola-4(15),5-diene",32.925,9992582,"PL1"
"27","20160501OB-UV-2","Germacrene D",33.71,36927202,"PL1"
"28","20160501OB-UV-2","bicyclogermacrene",34.367,24936753,"PL1"
"29","20160501OB-UV-2","alpha-bulnesene",34.592,38977991,"PL1"
"30","20160501OB-UV-2","gamma-cadinene",35.038,46742098,"PL1"
"31","20160501OB-UV-2","delta-cadinene",35.284,7620839,"PL1"
"32","20160501OB-UV-2","sesquiterpene b",35.55,2905651,"PL1"
"33","20160501OB-UV-2","alpha-cadinene",35.97,2192149,"PL1"
"34","20160501OB-UV-2","nerolidol",37.08,NA,"PL1"
"35","20160501OB-UV-2","epicubenol",38.984,5712703,"PL1"
"36","20160501OB-UV-2","tau-cadinol",40.008,42126255,"PL1"
