"","EXP.ID","COMPOUND","RT","ABUNDANCE","PROFILE.ID"
"1","20160501OB-UV-2","Eucalyptol",13.147,115304684,"FS1"
"2","20160501OB-UV-2","Ocimene",14.001,16224216,"FS1"
"3","20160501OB-UV-2","gamma-terpinene",14.494,NA,"FS1"
"4","20160501OB-UV-2","terpinolene",15.882,2139946,"FS1"
"5","20160501OB-UV-2","linalool",16.701,379081943,"FS1"
"6","20160501OB-UV-2","camphor",18.747,2285521,"FS1"
"7","20160501OB-UV-2","endo-borneol",19.99,6853395,"FS1"
"8","20160501OB-UV-2","terpinen-4-ol",20.432,NA,"FS1"
"9","20160501OB-UV-2","alpha-terpineol",21.169,9978033,"FS1"
"10","20160501OB-UV-2","octyl acetate",22.111,2027850,"FS1"
"11","20160501OB-UV-2","chavicol",23.917,NA,"FS1"
"12","20160501OB-UV-2","bornyl acetate",25.34,15367118,"FS1"
"13","20160501OB-UV-2","gamma-elemene",27.455,2732186,"FS1"
"14","20160501OB-UV-2","alpha-cubebene",28.129,NA,"FS1"
"15","20160501OB-UV-2","eugenol",28.48,795768318,"FS1"
"16","20160501OB-UV-2","alpha-copaene",29.346,1532335,"FS1"
"17","20160501OB-UV-2","beta-elemene",29.659,2689801,"FS1"
"18","20160501OB-UV-2","sesquiterpene a",29.978,22325071,"FS1"
"19","20160501OB-UV-2","methyleugenol",30.5,2223527,"FS1"
"20","20160501OB-UV-2","trans-alpha-bergamotene",31,NA,"FS1"
"21","20160501OB-UV-2","beta-ylangene",31.129,2560461,"FS1"
"22","20160501OB-UV-2","cis-alpha-bergamotene",31.879,78048389,"FS1"
"23","20160501OB-UV-2","alpha-copaene",32.28,1923665,"FS1"
"24","20160501OB-UV-2","humulene",32.644,6427068,"FS1"
"25","20160501OB-UV-2","cis-beta-farnesene",32.767,7707506,"FS1"
"26","20160501OB-UV-2","cis-muurola-4(15),5-diene",32.925,4252983,"FS1"
"27","20160501OB-UV-2","Germacrene D",33.71,15334436,"FS1"
"28","20160501OB-UV-2","bicyclogermacrene",34.367,11112565,"FS1"
"29","20160501OB-UV-2","alpha-bulnesene",34.592,16760474,"FS1"
"30","20160501OB-UV-2","gamma-cadinene",35.038,22445966,"FS1"
"31","20160501OB-UV-2","delta-cadinene",35.284,3241264,"FS1"
"32","20160501OB-UV-2","sesquiterpene b",35.55,NA,"FS1"
"33","20160501OB-UV-2","alpha-cadinene",35.97,NA,"FS1"
"34","20160501OB-UV-2","nerolidol",37.08,NA,"FS1"
"35","20160501OB-UV-2","epicubenol",38.984,2377716,"FS1"
"36","20160501OB-UV-2","tau-cadinol",40.008,18133660,"FS1"
