,EXP.ID,COMPOUND,RT,ABUNDANCE,PROFILE.ID
,20160515OB-UVC-1,β-Pinene,10.874,42639059,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,β-Myrcene,11.712,27933597,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,Eucalyptol,13.51,352721848,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,β-cis-Ocimene,14.506,74692523,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,Terpinolene,16.388,15551744,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,Linalool,17.086,803743964,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,d-Camphor,19.026,12275938,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,endo-Borneol,20.078,14337471,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,Terpinen-4-ol,20.669,8163085,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,α-Terpineol,21.32,46717203,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,Bornyl acetate,25.781,22501002,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,sesquiterpene a,28.041,33891205,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,Eugenol,29.151,2129163947,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,Copaene,29.729,11484772,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,trans-Methyl cinnamate,30.02,,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,sesquiterpene b,30.144,10234958,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,β-Elemene,30.446,127331098,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,Methyleugenol,31.083,14844494,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,β-ylangene,31.525,29919816,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,sesquiterpene c,31.942,8731761,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,trans-α-Bergamotene,32.311,412829907,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,caryophyllene,32.582,10897390,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,sesquiterpene d,32.683,22917199,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,Humulene,32.947,63166062,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,(E)-β-Famesene,33.219,45757906,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,sesquiterpene e,33.339,34169709,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,γ-Muurolene,33.934,7501537,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,sesquiterpene f,34.086,136411187,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,Isocaryophillene,34.27,36081865,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,sesquiterpene g,34.712,78710849,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,sesquiterpene h,34.831,23659991,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,δ-Guaiene,35.108,64121979,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,β-Bisabolene,35.256,9539919,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,γ-Cadinene,35.424,117082602,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,sesquiterpene i,35.832,32160984,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,α-Cadinene,36.339,7835277,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,cubenol,39.305,13987581,20160515OB-UVC-1-U-I-1
,20160515OB-UVC-1,T-Cadinol,40.271,92921968,20160515OB-UVC-1-U-I-1
