"","EXP.ID","COMPOUND","RT","ABUNDANCE","PROFILE.ID"
"1","20160501OB-UV-2","Eucalyptol",13.147,259506346,"IL1"
"2","20160501OB-UV-2","Ocimene",14.001,30138197,"IL1"
"3","20160501OB-UV-2","gamma-terpinene",14.494,2754122,"IL1"
"4","20160501OB-UV-2","terpinolene",15.882,6581407,"IL1"
"5","20160501OB-UV-2","linalool",16.701,853221710,"IL1"
"6","20160501OB-UV-2","camphor",18.747,NA,"IL1"
"7","20160501OB-UV-2","endo-borneol",19.99,24659788,"IL1"
"8","20160501OB-UV-2","terpinen-4-ol",20.432,2238155,"IL1"
"9","20160501OB-UV-2","alpha-terpineol",21.169,21003321,"IL1"
"10","20160501OB-UV-2","octyl acetate",22.111,NA,"IL1"
"11","20160501OB-UV-2","chavicol",23.917,NA,"IL1"
"12","20160501OB-UV-2","bornyl acetate",25.34,19711610,"IL1"
"13","20160501OB-UV-2","gamma-elemene",27.455,8998723,"IL1"
"14","20160501OB-UV-2","alpha-cubebene",28.129,2529952,"IL1"
"15","20160501OB-UV-2","eugenol",28.48,1384958110,"IL1"
"16","20160501OB-UV-2","alpha-copaene",29.346,7928466,"IL1"
"17","20160501OB-UV-2","beta-elemene",29.659,6369081,"IL1"
"18","20160501OB-UV-2","sesquiterpene a",29.978,67181425,"IL1"
"19","20160501OB-UV-2","methyleugenol",30.5,2211164,"IL1"
"20","20160501OB-UV-2","trans-alpha-bergamotene",31,1952508,"IL1"
"21","20160501OB-UV-2","beta-ylangene",31.129,7917719,"IL1"
"22","20160501OB-UV-2","cis-alpha-bergamotene",31.879,186087032,"IL1"
"23","20160501OB-UV-2","alpha-copaene",32.28,8626782,"IL1"
"24","20160501OB-UV-2","humulene",32.644,16899698,"IL1"
"25","20160501OB-UV-2","cis-beta-farnesene",32.767,22992793,"IL1"
"26","20160501OB-UV-2","cis-muurola-4(15),5-diene",32.925,15557360,"IL1"
"27","20160501OB-UV-2","Germacrene D",33.71,57373374,"IL1"
"28","20160501OB-UV-2","bicyclogermacrene",34.367,34138139,"IL1"
"29","20160501OB-UV-2","alpha-bulnesene",34.592,52774625,"IL1"
"30","20160501OB-UV-2","gamma-cadinene",35.038,71227424,"IL1"
"31","20160501OB-UV-2","delta-cadinene",35.284,10726241,"IL1"
"32","20160501OB-UV-2","sesquiterpene b",35.55,3767217,"IL1"
"33","20160501OB-UV-2","alpha-cadinene",35.97,3331511,"IL1"
"34","20160501OB-UV-2","nerolidol",37.08,NA,"IL1"
"35","20160501OB-UV-2","epicubenol",38.984,8402476,"IL1"
"36","20160501OB-UV-2","tau-cadinol",40.008,62266607,"IL1"
