"","EXP.ID","COMPOUND","RT","ABUNDANCE","PROFILE.ID"
"1","20160501OB-UV-2","Eucalyptol",13.147,133135865,"FS2"
"2","20160501OB-UV-2","Ocimene",14.001,15294687,"FS2"
"3","20160501OB-UV-2","gamma-terpinene",14.494,NA,"FS2"
"4","20160501OB-UV-2","terpinolene",15.882,1886493,"FS2"
"5","20160501OB-UV-2","linalool",16.701,417760855,"FS2"
"6","20160501OB-UV-2","camphor",18.747,2541765,"FS2"
"7","20160501OB-UV-2","endo-borneol",19.99,8939494,"FS2"
"8","20160501OB-UV-2","terpinen-4-ol",20.432,NA,"FS2"
"9","20160501OB-UV-2","alpha-terpineol",21.169,11603303,"FS2"
"10","20160501OB-UV-2","octyl acetate",22.111,1452505,"FS2"
"11","20160501OB-UV-2","chavicol",23.917,NA,"FS2"
"12","20160501OB-UV-2","bornyl acetate",25.34,13586237,"FS2"
"13","20160501OB-UV-2","gamma-elemene",27.455,2353143,"FS2"
"14","20160501OB-UV-2","alpha-cubebene",28.129,NA,"FS2"
"15","20160501OB-UV-2","eugenol",28.48,712027544,"FS2"
"16","20160501OB-UV-2","alpha-copaene",29.346,1490676,"FS2"
"17","20160501OB-UV-2","beta-elemene",29.659,2518162,"FS2"
"18","20160501OB-UV-2","sesquiterpene a",29.978,20302070,"FS2"
"19","20160501OB-UV-2","methyleugenol",30.5,2403319,"FS2"
"20","20160501OB-UV-2","trans-alpha-bergamotene",31,NA,"FS2"
"21","20160501OB-UV-2","beta-ylangene",31.129,2334009,"FS2"
"22","20160501OB-UV-2","cis-alpha-bergamotene",31.879,73289315,"FS2"
"23","20160501OB-UV-2","alpha-copaene",32.28,1591462,"FS2"
"24","20160501OB-UV-2","humulene",32.644,5883865,"FS2"
"25","20160501OB-UV-2","cis-beta-farnesene",32.767,6686773,"FS2"
"26","20160501OB-UV-2","cis-muurola-4(15),5-diene",32.925,3850189,"FS2"
"27","20160501OB-UV-2","Germacrene D",33.71,14059889,"FS2"
"28","20160501OB-UV-2","bicyclogermacrene",34.367,9339105,"FS2"
"29","20160501OB-UV-2","alpha-bulnesene",34.592,14039372,"FS2"
"30","20160501OB-UV-2","gamma-cadinene",35.038,19724384,"FS2"
"31","20160501OB-UV-2","delta-cadinene",35.284,2794339,"FS2"
"32","20160501OB-UV-2","sesquiterpene b",35.55,NA,"FS2"
"33","20160501OB-UV-2","alpha-cadinene",35.97,NA,"FS2"
"34","20160501OB-UV-2","nerolidol",37.08,NA,"FS2"
"35","20160501OB-UV-2","epicubenol",38.984,2431556,"FS2"
"36","20160501OB-UV-2","tau-cadinol",40.008,20055542,"FS2"
